;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
186;L8TX_201008_01_A12;464325;aged;M;No FACS;HY -  MEZ-PVZ-PVR;551;9050;4605.334144;17548.22818;49403.93006;Ai14(RCL-tdT)/wt
187;L8TX_201008_01_B12;464753;aged;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;548;4441;5896.2907;23674.43504;69325.47895;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
188;L8TX_201008_01_D10;464753;aged;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;548;5955;6153.904114;24785.20924;60194.84803;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
189;L8TX_201008_01_E10;464753;aged;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;548;6376;6179.101945;24801.18523;55947.21393;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
190;L8TX_201008_01_F10;546762;adult;F;Calcein-positive, Hoechst-positive;AI-CLA;55;4612;5546.114918;27726.78448;69668.17129;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
191;L8TX_201008_01_F11;464755;aged;M;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat post;549;5765;4361.318474;16121.47493;90841.22533;Ai14(RCL-tdT)/wt
192;L8TX_201008_01_G11;464325;aged;M;No FACS;STR - sAMY;551;3201;3724.894408;11476.93408;49478.26585;Ai14(RCL-tdT)/wt
193;L8TX_201008_01_H11;464325;aged;M;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;551;4750;4874.976;19126.47642;59667.46295;Ai14(RCL-tdT)/wt
194;L8TX_201009_01_A01;464755;aged;M;No FACS;PONS - Pmot-Psat post;549;3219;4132.080149;15353.73377;113141.8409;Ai14(RCL-tdT)/wt
195;L8TX_201009_01_B01;464755;aged;M;Calcein-positive, Hoechst-positive;MB - PAG-RAmb;549;7298;4385.728556;16406.11853;53523.36887;Ai14(RCL-tdT)/wt
196;L8TX_201009_01_C01;464325;aged;M;Calcein-positive, Hoechst-positive;STR - sAMY;551;3942;3134.814307;7840.459665;19767.45586;Ai14(RCL-tdT)/wt
197;L8TX_201015_01_A03;546799;adult;M;No FACS;AI-CLA;62;9767;4748.687622;20427.5322;59257.61483;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
198;L8TX_201015_01_E03;546799;adult;M;Hoechst-positive;PL-ILA-ORB;62;4580;5482.94607;28248.22227;104294.4507;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
199;L8TX_201015_01_F02;546799;adult;M;Hoechst-positive;AI-CLA;62;4477;5134.986822;25512.06143;76744.62989;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
200;L8TX_201015_01_H02;546799;adult;M;No FACS;PL-ILA-ORB;62;8385;5266.779368;25321.52749;78364.82528;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
201;L8TX_201016_01_B04;546892;adult;M;RFP-positive;HY - HYmm;61;20;3762.15;9036.45;32761.75;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
202;L8TX_201016_01_C04;546812;adult;M;No FACS;ACA;63;5153;5159.222007;25323.38871;119482.1516;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
203;L8TX_201016_01_E04;546895;adult;M;RFP-positive;HY - HYa2;62;1;5204;14821;51642;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
204;L8TX_201016_01_F04;546812;adult;M;Hoechst-positive;STR - STRv;63;3131;5164.683807;22684.52316;142003.5152;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
205;L8TX_201016_01_G04;546812;adult;M;Hoechst-positive;ACA;63;6210;5591.538164;29712.11353;96235.20386;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
206;L8TX_201022_01_A07;468792;aged;M;Calcein-positive, Hoechst-positive;ENT;545;7499;5022.764902;23758.03027;51226.68996;Ai14(RCL-tdT)/wt
207;L8TX_201022_01_C06;546813;adult;M;No FACS;ENT;69;10240;4937.00918;22271.44824;46957.35332;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
208;L8TX_201022_01_D06;547122;adult;M;RFP-positive;HY - HYpm;67;4;4111.75;10047.75;27727;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
209;L8TX_201022_01_D07;468791;aged;M;RFP-positive, Hoechst-positive;STR - STRd;545;372;4580.370968;18687.49731;39947.69086;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
210;L8TX_201022_01_E06;546813;adult;M;Hoechst-positive;RSP;69;6448;5662.21371;28295.25341;85490.2897;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
211;L8TX_201022_01_E07;468792;aged;M;Hoechst-positive;HY -  MEZ-PVZ-PVR;545;4726;4893.710114;19364.86902;50390.46445;Ai14(RCL-tdT)/wt
212;L8TX_201022_01_F06;546813;adult;M;No FACS;RSP;69;8525;5529.091026;26492.76;61038.44786;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
213;L8TX_201022_01_G06;546813;adult;M;Hoechst-positive;ENT;69;5957;5471.097868;28482.48346;69680.093;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
214;L8TX_201022_01_H07;468791;aged;M;Hoechst-positive;STR - sAMY;545;3753;3342.822808;8791.748734;41083.03091;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
215;L8TX_201023_01_A08;468791;aged;M;No FACS;STR - STRd;545;2829;3529.84977;10844.12973;57523.26334;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
216;L8TX_201023_01_B08;468791;aged;M;No FACS;STR - sAMY;545;3895;3385.610013;9773.728626;57882.14557;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
217;L8TX_201023_01_C08;468792;aged;M;No FACS;HY -  MEZ-PVZ-PVR;545;5411;4730.944373;18652.31029;73523.17132;Ai14(RCL-tdT)/wt
218;L8TX_201023_01_C09;468792;aged;M;No FACS;ENT;545;5851;5254.124252;26637.01914;88009.82294;Ai14(RCL-tdT)/wt
219;L8TX_201023_01_D08;468791;aged;M;RFP-positive, Hoechst-positive;STR - sAMY;545;545;4247.763303;13179.46055;35761.79633;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
220;L8TX_201023_01_F09;468792;aged;M;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;545;6477;4630.120889;16627.78879;62883.15192;Ai14(RCL-tdT)/wt
221;L8TX_201023_01_H09;468791;aged;M;Hoechst-positive;STR - STRd;545;1339;3830.067961;11692.59895;59897.90067;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
222;L8TX_201029_01_A10;550850;adult;F;No FACS;PAR-POST-PRE-SUB-ProS;53;6664;5201.894508;24126.79667;69955.80627;Ai14(RCL-tdT)/wt
223;L8TX_201029_01_A11;548212;adult;F;Hoechst-positive;RSP;69;4340;5570.474885;27032.49194;114745.5906;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
224;L8TX_201029_01_B10;549928;adult;M;No FACS;PAR-POST-PRE-SUB-ProS;58;7246;5335.387386;25083.16506;75055.96702;Ai14(RCL-tdT)/wt
225;L8TX_201029_01_B11;548212;adult;F;Hoechst-positive;ENT;69;4652;4623.325451;20716.56599;78383.07502;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
226;L8TX_201029_01_C10;548212;adult;F;No FACS;ENT;69;5164;4605.21495;20266.72192;63611.30403;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
227;L8TX_201029_01_G10;549927;adult;M;No FACS;HY -  MEZ-PVZ-PVR;58;6658;5172.490388;21189.39652;75887.94293;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
228;L8TX_201029_01_H10;549928;adult;M;Hoechst-positive;PAR-POST-PRE-SUB-ProS;58;6225;5674.16739;28866.59454;71239.66731;Ai14(RCL-tdT)/wt
229;L8TX_201030_01_A12;548212;adult;F;No FACS;RSP;69;3829;5276.117002;24331.37686;117813.684;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
230;L8TX_201030_01_C12;550850;adult;F;Hoechst-positive;PAR-POST-PRE-SUB-ProS;53;4807;5363.435407;25088.58956;81867.08924;Ai14(RCL-tdT)/wt
231;L8TX_201030_01_F11;549927;adult;M;No FACS;ACA;58;6682;5103.86965;23079.35019;47971.79243;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
232;L8TX_201105_01_A02;550848;adult;M;No FACS;STR - STRd;59;3154;3509.233672;11234.73811;35734.60051;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
233;L8TX_201105_01_B02;551639;adult;M;No FACS;HY -  MEZ-PVZ-PVR;54;171;4476.502924;13143.74269;33807.05848;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
234;L8TX_201105_01_H01;551016;adult;M;No FACS;HIP - CA;59;7816;4560.123209;19952.39278;55575.09301;Ai14(RCL-tdT)/wt
235;L8TX_201105_01_H02;550848;adult;M;Hoechst-positive;STR - STRd;59;1991;3636.996484;11135.28528;28403.23506;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
236;L8TX_201106_01_C04;551016;adult;M;Hoechst-positive;MB - VTA-SN;59;6424;3613.087017;12696.54452;108062.4253;Ai14(RCL-tdT)/wt
237;L8TX_201106_01_D03;550848;adult;M;Hoechst-positive;CNU - PAL;59;5279;3238.89695;10328.65505;42353.0752;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
238;L8TX_201106_01_D04;550848;adult;M;No FACS;CNU - PAL;59;3360;4001.594345;14572.25714;103005.5122;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
239;L8TX_201106_01_E04;551016;adult;M;Hoechst-positive;HIP - CA;59;3782;5236.140666;26426.46695;138989.2919;Ai14(RCL-tdT)/wt
240;L8TX_201106_01_H12;551016;adult;M;No FACS;MB - VTA-SN;59;3387;3541.369944;11908.0992;98004.4039;Ai14(RCL-tdT)/wt
241;L8TX_201112_01_A05;551629;adult;F;No FACS;HIP - CA;61;5044;5182.675654;24693.84377;85912.25496;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
242;L8TX_201112_01_A06;551629;adult;F;Hoechst-positive;MB - VTA-SN;61;6044;3455.222204;10441.91082;66615.9904;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
243;L8TX_201112_01_E05;551629;adult;F;Hoechst-positive;HIP - CA;61;3156;4433.201204;17785.56527;75217.39924;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
244;L8TX_201112_01_G05;551628;adult;M;Hoechst-positive;MB - PAG-RAmb;62;8284;3886.415379;13694.58885;81062.96801;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
245;L8TX_201112_01_H04;551628;adult;M;No FACS;MB - PAG-RAmb;62;6654;4031.201984;14279.82041;56175.88428;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
246;L8TX_201112_01_H05;551629;adult;F;No FACS;MB - VTA-SN;61;6428;3732.756845;12762.46966;115265.8409;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
247;L8TX_201113_01_A07;550468;adult;F;Hoechst-positive;PONS - Pmot-Psat ant;69;3525;4128.764823;15201.8678;158567.5552;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
248;L8TX_201113_01_E06;551628;adult;M;Hoechst-positive;PONS - Pmot-Psat post;62;3366;4290.806595;16646.49436;195405.5966;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
249;L8TX_201113_01_F06;550468;adult;F;No FACS;PONS - Pmot-Psat ant;69;4733;3703.625819;12541.54701;111999.2227;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
250;L8TX_201113_01_G06;551628;adult;M;No FACS;PONS - Pmot-Psat post;62;1956;3971.715235;13722.48006;185181.887;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
251;L8TX_201119_01_A08;553676;adult;F;No FACS;PONS - Pmot-Psat post;54;4567;4481.684695;18081.79768;109814.2831;Ai14(RCL-tdT)/wt
252;L8TX_201119_01_A09;553672;adult;M;No FACS;PONS - Pmot-Psat ant;55;1411;4580.224663;19983.64422;345628.112;Ai14(RCL-tdT)/wt
253;L8TX_201119_01_D08;553676;adult;F;Hoechst-positive;PONS - Pmot-Psat post;54;5684;4190.015834;16005.6221;71113.75493;Ai14(RCL-tdT)/wt
254;L8TX_201119_01_E08;553672;adult;M;Hoechst-positive;PONS - Pmot-Psat ant;55;2549;4185.46175;16834.88231;166904.4009;Ai14(RCL-tdT)/wt
255;L8TX_201120_01_B10;553676;adult;F;Hoechst-positive;MB - PAG-RAmb;54;7365;4561.737135;18596.35166;56539.45838;Ai14(RCL-tdT)/wt
256;L8TX_201120_01_C10;553672;adult;M;No FACS;STR - STRv;55;3992;5777.50476;27672.31012;114494.1884;Ai14(RCL-tdT)/wt
257;L8TX_201120_01_F09;553676;adult;F;No FACS;MB - PAG-RAmb;54;7096;4850.541995;20725.30693;70941.28129;Ai14(RCL-tdT)/wt
258;L8TX_201120_01_G09;553679;adult;M;No FACS;HIP;59;4359;5100.807295;22112.69511;107639.8465;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
259;L8TX_201204_01_H01;554815;adult;F;No FACS;HIP;54;7972;5078.612895;22020.3225;70666.18377;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
260;L8TX_201217_01_F06;556848;adult;M;No FACS;HY LZ;60;53;5243.811321;18505.01887;60256.39623;Ai14(RCL-tdT)/wt
261;L8TX_210304_01_F01;566076;adult;F;RFP-positive, DAPI-negative;HY - HYm2;60;10;3988.5;10361.5;23242.2;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
262;L8TX_210325_01_H07;568464;adult;F;No FACS;HY LZ;68;36;4110.416667;10623.69444;22452.41667;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
263;L8TX_210408_01_C10;499307;aged;M;RFP-positive, Hoechst-positive;ENT;543;747;6765.321285;43396.74699;149760.826;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
264;L8TX_210408_01_H10;499307;aged;M;RFP-positive, Hoechst-positive;RSP;543;1226;5989.890701;29296.56199;192344.6697;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
265;L8TX_210624_01_H03;512026;aged;F;RFP-positive, Hoechst-positive;MB - PAG-RAmb;544;2397;6422.614935;27010.87568;65556.75219;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
266;L8TX_210701_01_A05;511457;aged;M;RFP-positive, Hoechst-positive;ACA;545;4653;6840.477112;33385.4423;55379.47152;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
267;L8TX_210701_01_C06;511895;aged;M;RFP-positive, Hoechst-positive;PONS - Pmot-Psat post;543;3567;5558.013457;19557.33642;68546.15335;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
268;L8TX_210701_01_C07;511895;aged;M;RFP-positive, Hoechst-positive;MB - VTA-SN;543;2356;4653.549236;17513.42869;54584.87394;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
269;L8TX_210701_01_E06;511460;aged;F;RFP-positive, Hoechst-positive;PONS - Pmot-Psat ant;544;2309;6012.012993;27365.10221;86041.08922;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
270;L8TX_210701_01_F07;512026;aged;F;RFP-positive, Hoechst-positive;MB - VTA-SN;544;1757;4824.047809;21010.43711;75370.69152;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
271;L8TX_210701_01_G04;511457;aged;M;RFP-positive, Hoechst-positive;AI-CLA;545;4521;7454.844061;42445.53108;90605.08516;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
272;L8TX_210701_01_H04;511460;aged;F;RFP-positive, Hoechst-positive;PAR-POST-PRE-SUB-ProS;544;3808;6682.659926;31399.03939;63428.76339;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
273;L8TX_210708_01_C08;513431;aged;M;RFP-positive, Hoechst-positive;PL-ILA-ORB;540;7511;6843.166023;33603.5898;98286.58048;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
274;L8TX_210708_01_F08;512279;aged;M;RFP-positive, Hoechst-positive;STR - sAMY;546;108;4809.851852;15698.87963;29203.63889;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
275;L8TX_210708_01_G08;512279;aged;M;RFP-positive, Hoechst-positive;STR - STRv;546;1251;6323.019185;27294.63149;66985.49161;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
276;L8TX_210805_01_F01;592557;aged;M;No FACS;HIP;548;4469;3995.139405;13590.14254;88967.38443;wt/wt
277;L8TX_210805_01_H01;592558;aged;F;No FACS;HIP;548;5945;5332.193944;23251.83431;95580.94449;wt/wt
278;L8TX_211216_01_D01;604611;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;64;5096;6396.446036;28010.62108;86799.93995;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
279;L8TX_211216_01_D04;604611;adult;F;RFP-positive, DAPI-negative;MB - VTA-SN;64;2566;4926.279813;22507.79618;80445.04754;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
280;L8TX_220106_03_B10;606115;adult;M;RFP-positive, DAPI-negative;MB - VTA-SN;61;1292;5044.667957;24989.76006;157474.106;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
281;L8TX_220106_03_F09;606115;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;61;3730;6443.068365;28917.48525;111798.6853;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
282;L8TX_220120_01_A02;608855;adult;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;69;4429;5120.975389;19625.59088;63729.60081;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
283;L8TX_220120_01_D02;608855;adult;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat ant;69;3549;4938.46971;20715.98281;104824.0428;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
284;L8TX_220331_01_D05;618176;adult;M;RFP-positive, DAPI-negative;HY -  MEZ-PVZ-PVR;65;2661;6675.270199;30272.2345;157822.655;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
285;L8TX_220407_01_D06;619870;adult;F;RFP-positive, DAPI-negative;AI-CLA;60;4652;6512.775795;31405.85856;76017.30482;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
286;L8TX_220407_01_E06;619870;adult;F;RFP-positive, DAPI-negative;HY -  MEZ-PVZ-PVR;60;5813;6318.531567;27216.85257;110125.8682;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
287;L8TX_220421_01_G07;621471;adult;F;RFP-positive, DAPI-negative;PL-ILA-ORB;66;4314;7239.773992;38664.36486;90084.88201;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
